10.1.1.245.1814 journals/corr/abs-0709-1205
10.1.1.76.5436 conf/cocos/LebbahMR03
10.1.1.21.8719 conf/imw/Peuhkuri01
10.1.1.112.6967 journals/ijsn/OliveiraWLD07
10.1.1.38.9718 conf/podc/ShavitZ98
10.1.1.37.8662 journals/nn/Amari95
10.1.1.211.5617 conf/esec/RosenblumW98
10.1.1.157.2459 conf/iccv/SrinivasanD09
10.1.1.33.2834 conf/cade/EhrensbergerZ97
10.1.1.103.1182 conf/sacrypt/MatsumotoSNH07
10.1.1.18.4769 conf/ijcai/BordeauxMB01
10.1.1.62.6356 conf/rta/ThiemannG03
10.1.1.44.8815 conf/ki/PomplunVR94
10.1.1.39.7928 journals/jct/CorteelSV98
10.1.1.129.6423 conf/icml/SenG06
10.1.1.23.2855 conf/wsc/CzarneckiSR97
10.1.1.105.6060 conf/sac/WuC03
10.1.1.50.1404 journals/corr/cmp-lg-9806012
10.1.1.244.7045 journals/corr/abs-0709-1308
10.1.1.125.255 journals/libt/Jacob04
10.1.1.18.1971 journals/tsp/NguyenK96
10.1.1.143.5404 conf/acl/Deane05
10.1.1.15.7574 journals/pami/Pelillo02
10.1.1.208.6726 conf/iv/Moere08
10.1.1.154.9407 journals/sigmetrics/LinXHWZ09
10.1.1.128.4562 conf/ceemas/Tadjouddine07
10.1.1.2.6209 conf/stoc/HarnikNRR04
10.1.1.245.3540 journals/corr/abs-0801-2185
10.1.1.218.1114 conf/tacas/BerwangerCWDH09
10.1.1.113.3540 conf/vldb/TaoCXNKP05
10.1.1.19.9369 journals/iacr/CanettiLOS02
10.1.1.170.813 conf/icml/CortesMR10
10.1.1.144.4237 conf/iros/BennewitzFJSB05
10.1.1.10.6362 conf/isrr/HahnelTWB03
10.1.1.111.241 conf/ecoop/BanerjeeNR08
10.1.1.269.4287 journals/corr/cmp-lg-9503018
10.1.1.215.1361 conf/edbt/SunHZYCW09
10.1.1.61.1262 journals/jpdc/YinCC05
10.1.1.165.9973 conf/concur/SchroderV10
10.1.1.148.8575 conf/imecs/FugkeawMJ07
10.1.1.46.8693 conf/mfcs/DammHL92
10.1.1.161.6643 conf/ndss/WolchokHHFHRWW10
10.1.1.79.5396 journals/bioinformatics/FureyCDBSH00
10.1.1.187.7850 conf/nips/AilonJM09
10.1.1.12.7587 conf/ijcai/Brafman01
10.1.1.140.5232 conf/paams/UrraIMD09
10.1.1.232.7588 conf/waoa/AnshelevichCH10
10.1.1.23.9785 conf/icassp/Campbell02
10.1.1.14.5162 journals/eor/BhattacharyyaT03
10.1.1.104.9106 journals/entcs/OliveiraWFL05
10.1.1.137.9230 journals/eor/KahramanEB06
10.1.1.32.5588 conf/icdt/AbiteboulVV92
10.1.1.145.7753 conf/rissef/Berry02
10.1.1.174.1623 conf/cccg/CarmiC10
10.1.1.187.7822 conf/lrec/SharoffWM10
10.1.1.66.5677 conf/lpar/GeorgievaHS01
10.1.1.10.5617 conf/sigsoft/AlfaroH01
10.1.1.135.6907 journals/cn/GoudaL07
10.1.1.233.2318 conf/rtcsa/MolanoMTR9
10.1.1.248.6763 conf/networking/GiroireMPR12
10.1.1.153.3658 conf/interspeech/ZhanWFW97
10.1.1.120.4560 conf/tacas/AlurEM04
10.1.1.26.1794 conf/iscas/Salapura94
10.1.1.97.7732 conf/cade/Miller06
10.1.1.32.2696 journals/mscs/Pitts02
10.1.1.101.5973 conf/cp/SamerS06
10.1.1.29.3787 conf/compgeom/EstkowskiM01
10.1.1.112.3730 conf/soco/BravettiZ07
10.1.1.23.1260 journals/ngc/KingSS95
10.1.1.41.1925 journals/bioinformatics/Page98
10.1.1.160.2495 journals/moc/DickK10
10.1.1.20.2835 journals/tcad/GivargisV02
10.1.1.192.1038 conf/chi/MarkGK08
10.1.1.136.8359 journals/spe/ChangMCH92
10.1.1.158.3456 journals/corr/abs-1205-2602
10.1.1.69.9845 conf/ipps/LondonoB08
10.1.1.107.8680 conf/ecis/Jarvinen07
10.1.1.154.8924 journals/ijcv/KadirB01
10.1.1.20.1883 journals/tecs/QuP03
10.1.1.214.2756 conf/icpr/HeSTZ08
10.1.1.69.5676 journals/tog/RamamoorthiH04
10.1.1.7.6728 conf/sigcomm/TangmunarunkitGJSW02
10.1.1.205.5886 conf/ijcnn/Kibria07
10.1.1.100.6495 conf/iccsa/NieSJLYZ05
10.1.1.100.8731 conf/ipps/FengCSS07
10.1.1.102.8628 journals/cn/HefeedaBY04
10.1.1.102.9459 conf/hicss/Grudin04
10.1.1.103.4594 journals/pr/MaenpaaP04
10.1.1.104.4362 conf/sips/WuCWW07
10.1.1.104.7380 journals/jei/LandreTMD01
10.1.1.105.1871 conf/iri/MattmannPKCFM07
10.1.1.105.5413 conf/wsc/PriceH99
10.1.1.106.2903 conf/socc/NarayananOKK05
10.1.1.106.8608 journals/jot/Firesmith04c
10.1.1.106.8976 journals/tkde/ChenHY96
10.1.1.106.9024 conf/cdes/MyjakD05
10.1.1.108.8794 conf/IEEEpact/DesprezDRR97
10.1.1.108.8799 conf/swat/BonifaciKMS0
10.1.1.108.9060 conf/fiw/GangadharanWED07
10.1.1.109.6220 conf/asm/BanachPJS05
10.1.1.173.6022 conf/cvpr/NilsbackC04
10.1.1.17.377 journals/siamco/TabuadaP05
10.1.1.174.5436 conf/vast/KaghatC10
10.1.1.175.2175 conf/iat/FaroukI10
10.1.1.231.3669 journals/jmlr/ShamirS11
10.1.1.232.2650 conf/bica/AchlerB11
10.1.1.23.3197 conf/jsspp/LoMW98
10.1.1.240.3109 journals/rsa/BollobasJR07
10.1.1.24.59 conf/europar/PuenteGIB99
10.1.1.248.5077 journals/mst/CourcelleT10
10.1.1.249.2110 journals/corr/abs-0712-3576
10.1.1.251.601 conf/sle/FischerLZ11
10.1.1.25.3141 conf/ecai/CoenenBBDS98
10.1.1.25.7337 journals/sopr/SawyerSV97
10.1.1.261.1800 journals/corr/abs-1110-2407
10.1.1.261.2927 conf/emnlp/LeeRCSJ12
10.1.1.26.4370 conf/im/Martin-Flatin99
10.1.1.278.5751 conf/pricai/QuanH08
10.1.1.278.6189 journals/swarm/PinciroliTOPBBMFCDBGD12
10.1.1.27.9461 conf/eurocrypt/CamenischM00
10.1.1.35.2108 journals/dcg/BoissonnatSTY98
10.1.1.36.1280 conf/robocup/LukeHFJH97
10.1.1.36.1497 conf/IEEEpact/HazelwoodC00
10.1.1.36.1580 conf/hicss/BabaogluDGB95
10.1.1.37.2606 conf/mobicom/EslerHAB99
10.1.1.39.8294 journals/jsc/HentzelJM93
10.1.1.42.2258 conf/mm/KrishnanVL97
10.1.1.43.3627 conf/sc/SarinGS98
10.1.1.43.7948 conf/mm/AmirMZ95
10.1.1.44.9784 journals/tsp/MihcakMAR01
10.1.1.46.7215 conf/dsl/SheardBP99
10.1.1.4.8270 journals/ton/LuoKZLZ04
10.1.1.50.1451 journals/pc/LopezPAZ97
10.1.1.50.6536 conf/mfcs/FischerHT95
10.1.1.51.6635 conf/sigmod/CareyK97
10.1.1.53.9989 conf/nips/SerenoS90
10.1.1.5.4080 conf/usenix/ChuGNRSZZ04
10.1.1.59.6243 conf/interspeech/TokudaKMI94
10.1.1.59.6520 conf/eccv/BarSK04
10.1.1.59.703 conf/ki/SchrodlE99
10.1.1.60.5301 conf/networking/LiLC06
10.1.1.61.162 journals/corr/abs-cs-0412010
10.1.1.61.236 conf/weis/DanezisLA05
10.1.1.61.8961 journals/cad/DiCarloP0
10.1.1.62.6405 journals/jwe/Whitehead02
10.1.1.63.1066 journals/ppl/AldinucciB08
10.1.1.63.2179 conf/hicss/Roussev03
10.1.1.63.2978 conf/ispd/KahngRSWZ98
10.1.1.63.6587 conf/cp/BacchusG95
10.1.1.63.7563 conf/cts/BencsathV05
10.1.1.66.9468 conf/ppopp/LimLL01
10.1.1.6.7769 conf/aaai/SunW93
10.1.1.69.8363 conf/ecsqaru/Cozman99
10.1.1.7.3166 journals/pmh/Heuberger04
10.1.1.96.6003 journals/ijahuc/PurtoosiTMF07
10.1.1.97.1328 conf/atal/OliveiraFB04
10.1.1.97.4204 conf/cia/GrimnesCEP03
10.1.1.97.8064 journals/itp/KockM95
10.1.1.97.8424 journals/cga/TurquinWBCH07
10.1.1.98.3957 journals/datamine/WenAWS07
10.1.1.98.6523 journals/cgf/SavranskyDG99
10.1.1.99.7130 journals/corr/abs-0805-1740
10.1.1.181.622 journals/tac/ZaferM09
10.1.1.182.5055 conf/ictac/ChabinAMR10
10.1.1.185.884 conf/ca/OBrienH95
10.1.1.188.901 conf/gis/WeissF08
10.1.1.189.188 journals/jcphy/JahnkeU10
10.1.1.190.3343 conf/icip/ShariatiJSMSA10
10.1.1.1.9358 conf/icml/ConitzerS04
10.1.1.193.797 conf/wec/AdiNMG05
10.1.1.196.608 conf/ACMicec/ZouFDCP03
10.1.1.20.4001 conf/hicss/PedersenL03
10.1.1.204.6179 conf/isca/SulemanMJKP10
10.1.1.205.337 journals/sigir/KampsKS11
10.1.1.205.9663 conf/acom/FischerRW06
10.1.1.208.6328 conf/vl/OmarYLM11;conf/icse/OmarYLM12
10.1.1.210.5246 conf/iccbr/Kofod-PetersenA09
10.1.1.211.3098 journals/corr/abs-1005-2499
10.1.1.215.4312 conf/dagm/KondermannKG08
10.1.1.216.8085 conf/cvpr/JiaY08
10.1.1.218.903 conf/oopsla/YoderR00
10.1.1.220.326 conf/stoc/AspnesW96
10.1.1.222.7092 conf/www/KashLZZ12
10.1.1.225.7507 journals/jvca/HongSB05
10.1.1.226.5470 conf/hybrid/SundaramCVELP11
10.1.1.228.5415 conf/miccai/GrbicIVVWGNC10
10.1.1.229.1149 conf/icip/SalamatiGS11
10.1.1.229.2493 conf/cae/IsenbergCS05
10.1.1.230.5351 conf/nips/KawaharaW11
10.1.1.23.1103 conf/dsn/HiltunenSU01
10.1.1.231.1771 journals/ejc/DvorakLS12
10.1.1.231.1819 conf/nips/MillnerGMSS10
10.1.1.11.4031 conf/compsac/SoaresB02
10.1.1.110.906 conf/ecir/KlampanosPJD05
10.1.1.118.7798 journals/corr/abs-1008-0823
10.1.1.120.8032 conf/ACMse/ZhengHM07
10.1.1.115.748 journals/cogsci/Gentner83
10.1.1.116.3844 journals/sigsoft/DengFW04
10.1.1.116.4744 conf/ifip3-1/WeertM02
10.1.1.119.7108 conf/lcn/NeelamegamCAS03
10.1.1.119.9520 conf/soups/GideonCEA06
10.1.1.119.9737 conf/pts/HigashinoNTC99
10.1.1.12.6950 conf/usits/PendarakisSVW01
10.1.1.122.8661 journals/nar/SzafronLGWPELAMFM04
10.1.1.126.5155 conf/interspeech/SilaghiV05
10.1.1.126.7106 journals/im/ChungGL03
10.1.1.129.2006 journals/siamjo/Mitchell00
10.1.1.133.5742 conf/icfem/CyrlukRS97
10.1.1.133.5825 conf/csb/JiaoYC04
10.1.1.138.1217 conf/icann/SigalaSPG05
10.1.1.138.2421 conf/icdcit/KulkarniB04
10.1.1.139.2780 conf/weis/Hulthen08
10.1.1.139.2834 ournals/tcsv/HanFW08
10.1.1.14.1444 conf/icra/HanKKLK01
10.1.1.14.1623 journals/spe/AmmarR93
10.1.1.140.4198 journals/tcbb/RoytbergGNLFSK09
10.1.1.143.5563 conf/vr/EisensteinGGSYZ03
10.1.1.143.8597 conf/icdar/PouderouxGPG07
10.1.1.146.2534 journals/tac/GeorgiouL06
10.1.1.146.3267 conf/cikm/DowneyDLH08
10.1.1.147.1203 conf/icml/YuJ09
10.1.1.148.8082 conf/waspaa/McDermottOS09
10.1.1.149.8352 conf/atal/GanzfriedS08
10.1.1.15.1839 journals/rairo/LiW99
10.1.1.15.5196 journals/cacm/BensoussanCD72
10.1.1.15.8486 conf/infocom/SripanidkulchaiMZ03
10.1.1.150.15 journals/informaticaSI/GamsT07
10.1.1.150.359 conf/nordichi/TaylorWK08
10.1.1.154.6405 journals/jcam/ChesnokovB10
10.1.1.157.4448 conf/trecvid/KucuktuncBGU08
10.1.1.158.2086 journals/dam/BazganHM05
10.1.1.158.2820 conf/fimh/SermesantBCMCMPRGLADSRCRA09
10.1.1.159.61 conf/ipps/SimaB09
10.1.1.161.7399 journals/siamsc/ChenS11
10.1.1.163.9032 journals/jfp/OwensRT09
10.1.1.164.4494 conf/conext/TariqMFA09
